Transect,collect_period,Measurement,Depth_Measurement,Braking,Inner width ,Outer width ,Trail characteristics  ,Corner (if applicable),Type of Turn,Going into Turn ,Notes,,,
9,,180,59,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,190,60,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,200,61,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,210,61,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,220,62,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,230,63,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,240,64,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,250,66,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,260,67,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,270,67,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,280,68,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,290,69,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,300,70,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,310,71,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,320,72,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,330,72,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,340,72,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,350,72,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,360,71,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,370,71,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,380,70,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,390,70,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,400,71,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,410,71,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,420,71,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,430,70,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,440,70,1,300-345,260-285,40L/10R/50S,,,,,,,
10,13-Dec-24,10,5,1,160-221,129-256,L40/60S,No,,,,,,
10,Winter,20,6,1,,,L40/60S,No,,,,,,
10,Winter,30,11,1,,,L40/60S,No,,,,,,
10,Winter,40,13,1,,,L40/60S,No,,,,,,
10,Winter,50,17,1,,,L40/60S,No,,,,,,
10,Winter,60,20,1,,,L40/60S,No,,,,,,
10,Winter,70,22,1,,,L40/60S,No,,,,,,
10,Winter,80,24,1,,,L40/60S,No,,,,,,
10,Winter,90,27,1,,,L40/60S,No,,,,,,
10,Winter,100,31,1,,,L40/60S,No,,,,,,
10,Winter,110,35,1,,,L40/60S,No,,,,,,
10,Winter,120,40,1,,,L40/60S,No,,,,,,
10,Winter,130,43,1,,,L40/60S,No,,,,,,
10,Winter,140,46,1,,,L40/60S,No,,,,,,
10,Winter,150,47,1,,,L40/60S,No,,,,,,
10,Winter,160,47,1,,,L40/60S,No,,,,,,
10,Winter,170,47,1,,,L40/60S,No,,,,,,
10,Winter,180,47,1,,,L40/60S,No,,,,,,
10,Winter,190,47,1,,,L40/60S,No,,,,,,
10,Winter,200,48,1,,,L40/60S,No,,,,,,
10,Winter,210,47,1,,,L40/60S,No,,,,,,
10,Winter,220,45,1,,,L40/60S,No,,,,,,
10,Winter,230,45,1,,,L40/60S,No,,,,,,
10,Winter,240,45,1,,,L40/60S,No,,,,,,
10,Winter,250,46,1,,,L40/60S,No,,,,,,
10,Winter,260,46,1,,,L40/60S,No,,,,,,
10,Winter,270,48,1,,,L40/60S,No,,,,,,
10,Winter,280,50,1,,,L40/60S,No,,,,,,
10,Winter,290,48,1,,,L40/60S,No,,,,,,
10,Winter,300,50,1,,,L40/60S,No,,,,,,
10,Winter,310,50,1,,,L40/60S,No,,,,,,
10,Winter,320,52,1,,,L40/60S,No,,,,,,
10,Winter,330,53,1,,,L40/60S,No,,,,,,
10,Winter,340,54,1,,,L40/60S,No,,,,,,
10,Winter,350,56,1,,,L40/60S,No,,,,,,
10,Winter,360,54,1,,,L40/60S,No,,,,,,
10,Winter,370,55,1,,,L40/60S,No,,,,,,
10,Winter,380,56,1,,,L40/60S,No,,,,,,
10,Winter,390,57,1,,,L40/60S,No,,,,,,
10,Winter,400,56,1,,,L40/60S,No,,,,,,
11,14-Oct-24,10,3,2,168-208,147-233,30L/5ROOT/5ROCK/60S,,,,,,,
11,,20,6,2,168-208,147-233,,,,,,,,
11,,30,8,2,168-208,147-233,,,,,,,,
11,,40,10,2,168-208,147-233,,,,,,,,
11,,50,13,2,168-208,147-233,,,,,,,,
11,,60,16,2,168-208,147-233,,,,,,,,
11,,70,18,2,168-208,147-233,,,,,,,,
11,,80,21,2,168-208,147-233,,,,,,,,
11,,90,24,2,168-208,147-233,,,,,,,,
11,,100,28,2,168-208,147-233,,,,,,,,
11,,110,32,2,168-208,147-233,,,,,,,,
11,,120,35,2,168-208,147-233,,,,,,,,
11,,130,39,2,168-208,147-233,,,,,,,,
11,,140,41,2,168-208,147-233,,,,,,,,
11,,150,44,2,168-208,147-233,,,,,,,,
11,,160,45,2,168-208,147-233,,,,,,,,
11,,170,46,2,168-208,147-233,,,,,,,,
11,,180,48,2,168-208,147-233,,,,,,,,
11,,190,48,2,168-208,147-233,,,,,,,,
11,,200,48,2,168-208,147-233,,,,,,,,
11,,210,48,2,168-208,147-233,,,,,,,,
11,,220,48,2,168-208,147-233,,,,,,,,
11,,230,47,2,168-208,147-233,,,,,,,,
11,,240,48,2,168-208,147-233,,,,,,,,
11,,250,47,2,168-208,147-233,,,,,,,,
11,,260,46,2,168-208,147-233,,,,,,,,
11,,270,46,2,168-208,147-233,,,,,,,,
11,,280,48,2,168-208,147-233,,,,,,,,
11,,290,49,2,168-208,147-233,,,,,,,,
11,,300,51,2,168-208,147-233,,,,,,,,
11,,310,53,2,168-208,147-233,,,,,,,,
11,,320,55,2,168-208,147-233,,,,,,,,
11,,330,57,2,168-208,147-233,,,,,,,,
11,,340,57,2,168-208,147-233,,,,,,,,
11,,350,59,2,168-208,147-233,,,,,,,,
11,,360,60,2,168-208,147-233,,,,,,,,
11,,370,62,2,168-208,147-233,,,,,,,,
11,,380,62,2,168-208,147-233,,,,,,,,
11,,390,66,2,168-208,147-233,,,,,,,,
11,,400,66,2,168-208,147-233,,,,,,,,
11,,410,67,2,168-208,147-233,,,,,,,,
12,14-Oct-24,10,3,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,20,4,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,30,7,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,40,11,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,50,17,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,60,20,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,70,23,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,80,25,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,90,25,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,100,26,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,110,24,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,120,24,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,130,23,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,140,22,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,150,21,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,160,19,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,170,16,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,180,14,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,190,11,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,200,8,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,210,6,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,220,5,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,230,4,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,240,4,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,250,6,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,260,20,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,270,19,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,280,21,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,290,23,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,300,24,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,310,24,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,320,23,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,330,24,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,340,22,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,350,22,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,360,23,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,370,22,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,380,22,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,390,20,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,400,17,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
12,,410,17,2,127-177,100-206,5R/40L/55s,Corner ,2,3,,,,
13,31-Oct-24,10,6,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,20,7,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,30,10,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,40,13,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,50,14,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,60,17,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,70,25,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,80,31,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,90,34,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,100,39,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,110,42,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,120,43,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,130,44,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,140,45,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,150,45,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,160,45,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,170,44,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,180,44,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,190,44,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,200,44,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,210,44,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,220,44,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,230,44,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,240,45,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,250,47,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,260,47,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,270,46,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,280,48,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,290,50,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,300,55,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,310,57,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,320,59,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,330,59,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,340,62,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,350,63,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,360,64,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
13,,370,61,1,127-174,106-220,30O/15R/25L/30S,,,,,,,
14,31-Oct-24,10,3,2,128-199,75-223,25R/10L/5RO/60S,Corner ,1,1,,,,
14,,20,4,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,30,5,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,40,8,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,50,14,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,60,19,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,70,23,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,80,24,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,90,27,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,100,28,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,110,29,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,120,29,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,130,29,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,140,29,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,150,28,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,160,27,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,170,27,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,180,26,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,190,25,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,200,23,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,210,21,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,220,20,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,230,22,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,240,21,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,250,20,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,260,21,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,270,23,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,280,24,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,290,24,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,300,24,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,310,23,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,320,25,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,330,26,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,340,26,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,350,26,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,360,27,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,370,27,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,380,25,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,390,30,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,400,30,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
14,,410,29,2,128-199,75-223,25R/10L/5RO/60S,,1,1,,,,
15,31-Oct-24,10,7,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,20,11,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,30,16,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,40,19,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,50,27,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,60,34,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,70,38,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,80,47,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,90,53,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,100,61,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,110,64,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,120,66,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,130,69,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,140,70,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,150,72,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,160,73,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,170,74,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,180,76,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,190,77,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,200,78,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,210,79,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,220,79,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,230,79,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,240,79,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,250,79,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,260,80,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,270,81,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,280,82,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,290,82,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,300,84,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,310,85,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,320,88,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,330,91,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,340,94,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,350,95,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,360,97,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,370,102,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,380,108,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,390,113,1,170-241,138-252,40L/5R/55S,,,,,,,
15,,400,114,1,170-241,138-252,40L/5R/55S,,,,,,,
16,31-Oct-24,10,5,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,20,8,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,30,10,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,40,17,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,50,20,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,60,25,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,70,30,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,80,35,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,90,38,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,100,41,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,110,44,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,120,45,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,130,46,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,140,47,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,150,48,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,160,50,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,170,51,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,180,52,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,190,52,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,200,51,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,210,52,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,220,53,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,230,54,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,240,56,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,250,58,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,260,61,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,270,63,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,280,65,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,290,70,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,300,70,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,310,72,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,320,74,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,330,75,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,340,79,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,350,79,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,360,82,1,166-198,142-221,10R/40L/50S,,,,,189-226,165-250,40L/20R/40S
16,,370,90,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,380,89,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,390,95,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,400,96,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,410,100,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,420,102,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,430,106,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,440,109,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,450,110,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,460,109,1,166-198,142-221,10R/40L/50S,,,,,,,
16,,470,107,1,166-198,142-221,10R/40L/50S,,,,,,,
17,31-Oct-24,10,4,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,20,3,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,30,3,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,40,4,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,50,5,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,60,7,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,70,12,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,80,15,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,90,17,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,100,18,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,110,18,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,120,17,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,130,18,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,140,19,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,150,22,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,160,24,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,170,28,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,180,30,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,190,34,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,200,35,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,210,37,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,220,37,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,230,35,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,240,34,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,250,33,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,260,33,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,270,33,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,280,35,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,290,38,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,300,40,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,310,41,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,320,45,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,330,45,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,340,49,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,350,52,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,360,53,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,370,53,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,380,52,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,390,51,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,400,49,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,410,48,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,420,46,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,430,44,3,68-264,47-283,25R/15L/60S,,,,,,,
17,,440,43,3,68-264,47-283,25R/15L/60S,,,,,,,
18,31-Oct-24,10,5,1,136-170,100-184,Root15/rock15/litter20/50S,,,,,,,
18,,20,7,1,136-170,100-184,,,,,,,,
18,,30,9,1,136-170,100-184,,,,,,,,
18,,40,10,1,136-170,100-184,,,,,,,,
18,,50,13,1,136-170,100-184,,,,,,,,
18,,60,20,1,136-170,100-184,,,,,,,,
18,,70,24,1,136-170,100-184,,,,,,,,
18,,80,27,1,136-170,100-184,,,,,,,,
18,,90,29,1,136-170,100-184,,,,,,,,
18,,100,30,1,136-170,100-184,,,,,,,,
18,,110,33,1,136-170,100-184,,,,,,,,
18,,120,34,1,136-170,100-184,,,,,,,,
18,,130,36,1,136-170,100-184,,,,,,,,
18,,140,37,1,136-170,100-184,,,,,,,,
18,,150,38,1,136-170,100-184,,,,,,,,
18,,160,38,1,136-170,100-184,,,,,,,,
18,,170,38,1,136-170,100-184,,,,,,,,
18,,180,37,1,136-170,100-184,,,,,,,,
18,,190,37,1,136-170,100-184,,,,,,,,
18,,200,36,1,136-170,100-184,,,,,,,,
18,,210,36,1,136-170,100-184,,,,,,,,
18,,220,36,1,136-170,100-184,,,,,,,,
18,,230,37,1,136-170,100-184,,,,,,,,
18,,240,38,1,136-170,100-184,,,,,,,,
18,,250,38,1,136-170,100-184,,,,,,,,
18,,260,39,1,136-170,100-184,,,,,,,,
18,,270,38,1,136-170,100-184,,,,,,,,
18,,280,40,1,136-170,100-184,,,,,,,,
18,,290,41,1,136-170,100-184,,,,,,,,
18,,300,35,1,136-170,100-184,,,,,,,,
18,,310,41,1,136-170,100-184,,,,,,,,
18,,320,41,1,136-170,100-184,,,,,,,,
18,,330,42,1,136-170,100-184,,,,,,,,
18,,340,45,1,136-170,100-184,,,,,,,,
18,,350,51,1,136-170,100-184,,,,,,,,
18,,360,51,1,136-170,100-184,,,,,,,,
18,,370,53,1,136-170,100-184,,,,,,,,
18,,380,54,1,136-170,100-184,,,,,,,,
19,31-Oct-24,10,3,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,20,5,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,30,8,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,40,12,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,50,21,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,60,29,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,70,38,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,80,46,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,90,49,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,100,51,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,110,54,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,120,55,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,130,58,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,140,59,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,150,61,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,160,61,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,170,62,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,180,62,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,190,62,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,200,61,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,210,61,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,220,61,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,230,62,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,240,62,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
19,,250,66,2,142-186,113-216,10RO/30L/10R/50S,,,,,,,
